frame,lady,x_start,x_end,y_start,y_end,movie,count
124,2,1013,1085,395.6666667,467.6666667,1,3
124,3,1552.2,1624.2,368.2,440.2,1,3
125,1,269,341,381,453,1,3
125,2,1015,1087,396,468,1,3
125,3,1553.8,1625.8,369.8,441.8,1,3
126,1,285,357,397,469,1,3
126,2,1017,1089,396.3333333,468.3333333,1,3
126,3,1555.4,1627.4,371.4,443.4,1,3
127,1,301,373,413,485,1,3
127,2,1019,1091,396.6666667,468.6666667,1,3
127,3,1557,1629,373,445,1,3
128,3,1549,1621,365,437,1,3
128,1,269,341,381,453,1,3
128,2,1021,1093,397,469,1,3
129,1,256,342,362,448,1,3
129,3,1549,1621,373,445,1,3
129,2,1021,1093,397,469,1,3
130,1,245,317,365,437,1,3
130,2,1013,1085,397,469,1,3
130,3,1541,1613,381,453,1,3
131,1,237,309,365,437,1,3
131,3,1549,1621,389,461,1,3
131,2,997,1069,365,437,1,3
132,1,229,301,365,437,1,3
132,3,1541,1613,389,461,1,3
132,2,1002.333333,1074.333333,375.6666667,447.6666667,1,3
133,1,229,301,373,445,1,3
133,2,1007.666667,1079.666667,386.3333333,458.3333333,1,3
133,3,1541,1613,389,461,1,3
134,1,221,293,373,445,1,3
134,2,1013,1085,397,469,1,3
134,3,1541.5,1613.5,388,460,1,3
135,1,221,293,389,461,1,3
135,2,997,1069,365,437,1,3
135,3,1542,1614,387,459,1,3
136,1,221,293,397,469,1,3
136,2,997,1069,365,437,1,3
136,3,1542.5,1614.5,386,458,1,3
137,1,221,293,405,477,1,3
137,3,1543,1615,385,457,1,3
137,2,,,,,1,3
138,1,208,294,400,486,1,3
138,2,989,1061,373,445,1,3
138,3,1543.5,1615.5,384,456,1,3
139,1,213,285,405,477,1,3
139,2,989,1061,373,445,1,3
139,3,1544,1616,383,455,1,3
140,1,213,285,405,477,1,3
140,2,989,1061,373,445,1,3
140,3,1544.5,1616.5,382,454,1,3
141,1,213,285,397,469,1,3
141,2,989,1061,373,445,1,3
141,3,1545,1617,381,453,1,3
142,1,213,285,397,469,1,3
142,2,989,1061,373,445,1,3
142,3,1545.5,1617.5,380,452,1,3
143,1,205,277,389,461,1,3
143,2,989,1061,373,445,1,3
143,3,1546,1618,379,451,1,3
144,1,205,277,389,461,1,3
144,2,981,1053,373,445,1,3
144,3,1546.5,1618.5,378,450,1,3
145,1,205,277,389,461,1,3
145,2,989,1061,373,445,1,3
145,3,1547,1619,377,449,1,3
146,1,205,277,389,461,1,3
146,2,981,1053,373,445,1,3
146,3,1547.5,1619.5,376,448,1,3
147,1,213,285,397,469,1,3
147,2,981,1053,373,445,1,3
147,3,1548,1620,375,447,1,3
148,1,213,285,405,477,1,3
148,2,983.6666667,1055.666667,375.6666667,447.6666667,1,3
148,3,1548.5,1620.5,374,446,1,3
149,2,986.3333333,1058.333333,378.3333333,450.3333333,1,3
149,3,1549,1621,373,445,1,3
149,1,,,,,1,3
150,3,1549,1621,373,445,1,3
150,1,221,293,413,485,1,3
150,2,989,1061,381,453,1,3
151,3,1549,1621,373,445,1,3
151,1,237,309,421,493,1,3
151,2,989,1061,381,453,1,3
152,2,989,1061,381,453,1,3
152,1,237,309,421,493,1,3
152,3,1549,1621,365,437,1,3
153,2,989,1061,381,453,1,3
153,1,277,349,397,469,1,3
153,3,1549.25,1621.25,367,439,1,3
154,2,989,1061,381,453,1,3
154,1,277,349,397,469,1,3
154,3,1549.5,1621.5,369,441,1,3
155,2,989,1061,381,453,1,3
155,1,293,365,389,461,1,3
155,3,1549.75,1621.75,371,443,1,3
156,2,989,1061,381,453,1,3
156,1,309,381,381,453,1,3
156,3,1550,1622,373,445,1,3
157,3,1549,1621,365,437,1,3
157,2,989,1061,381,453,1,3
157,1,309,381,381,453,1,3
158,3,1549,1621,365,437,1,3
158,2,989,1061,381,453,1,3
158,1,309.0833333,381.0833333,381,453,1,3
159,3,1549,1621,365,437,1,3
159,2,989,1061,381,453,1,3
159,1,309.1666667,381.1666667,381,453,1,3
160,3,1549,1621,365,437,1,3
160,2,989,1061,381,453,1,3
160,1,309.25,381.25,381,453,1,3
161,3,1549,1621,365,437,1,3
161,2,989,1061,381,453,1,3
161,1,309.3333333,381.3333333,381,453,1,3
162,3,1549,1621,365,437,1,3
162,2,989,1061,381,453,1,3
162,1,309.4166667,381.4166667,381,453,1,3
163,3,1549,1621,365,437,1,3
163,2,989,1061,381,453,1,3
163,1,309.5,381.5,381,453,1,3
164,3,1549,1621,365,437,1,3
164,2,989,1061,381,453,1,3
164,1,309.5833333,381.5833333,381,453,1,3
165,3,1549,1621,365,437,1,3
165,2,989,1061,381,453,1,3
165,1,309.6666667,381.6666667,381,453,1,3
166,3,1549,1621,365,437,1,3
166,2,989,1061,381,453,1,3
166,1,309.75,381.75,381,453,1,3
167,3,1549,1621,365,437,1,3
167,2,989,1061,381,453,1,3
167,1,309.8333333,381.8333333,381,453,1,3
168,3,1549,1621,365,437,1,3
168,2,989,1061,381,453,1,3
168,1,309.9166667,381.9166667,381,453,1,3
169,3,1549,1621,365,437,1,3
169,2,989,1061,381,453,1,3
169,1,310,382,381,453,1,3
170,3,1549,1621,365,437,1,3
170,2,989,1061,381,453,1,3
170,1,309,381,381,453,1,3
171,1,301,373,381,453,1,3
171,3,1549,1621,365,437,1,3
171,2,989,1061,381,453,1,3
172,1,285,357,373,445,1,3
172,3,1549,1621,365,437,1,3
172,2,989,1061,381,453,1,3
173,1,277,349,373,445,1,3
173,2,989,1061,381,453,1,3
173,3,1549,1621,373,445,1,3
174,1,269,341,365,437,1,3
174,2,989,1061,381,453,1,3
174,3,1549,1621,373,445,1,3
175,1,261,333,365,437,1,3
175,3,1549,1621,373,445,1,3
175,2,989,1061,381,453,1,3
176,1,253,325,373,445,1,3
176,3,1549,1621,373,445,1,3
176,2,989,1061,381,453,1,3
177,1,245,317,381,453,1,3
177,3,1549,1621,373,445,1,3
177,2,989,1061,381,453,1,3
178,1,237,309,389,461,1,3
178,3,1549,1621,373,445,1,3
178,2,989,1061,381,453,1,3
179,1,229,301,397,469,1,3
179,2,989,1061,381,453,1,3
179,3,1549,1621,373,445,1,3
180,1,229,301,405,477,1,3
180,3,1549,1621,373,445,1,3
180,2,989,1061,381,453,1,3
181,1,229,301,405,477,1,3
181,3,1541,1613,373,445,1,3
181,2,989,1061,381,453,1,3
182,1,229,301,405,477,1,3
182,3,1541,1613,373,445,1,3
182,2,989,1061,381,453,1,3
183,1,229,301,397,469,1,3
183,3,1541,1613,373,445,1,3
183,2,989,1061,381,453,1,3
184,1,229,301,389,461,1,3
184,3,1541,1613,373,445,1,3
184,2,989,1061,381,453,1,3
185,1,229,301,381,453,1,3
185,3,1541,1613,373,445,1,3
185,2,989,1061,381,453,1,3
186,1,237,309,381,453,1,3
186,3,1541,1613,373,445,1,3
186,2,989,1061,381,453,1,3
187,1,245,317,381,453,1,3
187,3,1541,1613,373,445,1,3
187,2,989,1061,381,453,1,3
188,1,245,317,373,445,1,3
188,3,1541,1613,373,445,1,3
188,2,989,1061,381,453,1,3
189,1,253,325,373,445,1,3
189,3,1541,1613,373,445,1,3
189,2,989,1061,381,453,1,3
190,1,253,325,373,445,1,3
190,3,1541,1613,373,445,1,3
190,2,989,1061,381,453,1,3
191,1,261,333,381,453,1,3
191,3,1541,1613,373,445,1,3
191,2,989,1061,381,453,1,3
192,1,261,333,381,453,1,3
192,3,1541,1613,373,445,1,3
192,2,989,1061,381,453,1,3
193,1,269,341,381,453,1,3
193,3,1541,1613,373,445,1,3
193,2,989,1061,381,453,1,3
194,1,269,341,381,453,1,3
194,3,1541,1613,373,445,1,3
194,2,989,1061,381,453,1,3
195,1,269,341,381,453,1,3
195,3,1541,1613,373,445,1,3
195,2,989,1061,381,453,1,3
196,1,269,341,381,453,1,3
196,3,1541,1613,373,445,1,3
196,2,989,1061,381,453,1,3
197,1,269,341,381,453,1,3
197,3,1541,1613,373,445,1,3
197,2,989,1061,381,453,1,3
198,1,269,341,381,453,1,3
198,3,1541,1613,373,445,1,3
198,2,989,1061,381,453,1,3
199,1,269,341,381,453,1,3
199,3,1541,1613,373,445,1,3
199,2,989,1061,381,453,1,3
200,1,269,341,381,453,1,3
200,3,1541,1613,373,445,1,3
200,2,989,1061,381,453,1,3
201,1,269,341,381,453,1,3
201,3,1541,1613,373,445,1,3
201,2,989,1061,381,453,1,3
202,1,269,341,381,453,1,3
202,3,1541,1613,373,445,1,3
202,2,989,1061,381,453,1,3
203,1,269,341,381,453,1,3
203,3,1541,1613,373,445,1,3
203,2,989,1061,381,453,1,3
204,1,269,341,381,453,1,3
204,3,1541,1613,373,445,1,3
204,2,989,1061,381,453,1,3
205,1,269,341,381,453,1,3
205,3,1541,1613,373,445,1,3
205,2,989,1061,381,453,1,3
206,1,269,341,381,453,1,3
206,3,1541,1613,373,445,1,3
206,2,989,1061,381,453,1,3
207,1,269,341,381,453,1,3
207,3,1541,1613,373,445,1,3
207,2,989,1061,381,453,1,3
208,1,269,341,381,453,1,3
208,3,1541,1613,373,445,1,3
208,2,989,1061,381,453,1,3
209,1,269,341,381,453,1,3
209,3,1541,1613,373,445,1,3
209,2,989,1061,381,453,1,3
210,1,269,341,381,453,1,3
210,3,1541,1613,373,445,1,3
210,2,989,1061,381,453,1,3
211,1,269,341,381,453,1,3
211,3,1541,1613,373,445,1,3
211,2,989,1061,381,453,1,3
212,1,269,341,381,453,1,3
212,3,1541,1613,373,445,1,3
212,2,989,1061,381,453,1,3
213,1,269,341,381,453,1,3
213,3,1541,1613,373,445,1,3
213,2,989,1061,381,453,1,3
214,1,269,341,381,453,1,3
214,3,1541,1613,373,445,1,3
214,2,989,1061,381,453,1,3
215,1,269,341,381,453,1,3
215,3,1541,1613,373,445,1,3
215,2,989,1061,381,453,1,3
216,1,269,341,381,453,1,3
216,3,1541,1613,373,445,1,3
216,2,989,1061,381,453,1,3
217,1,269,341,381,453,1,3
217,3,1541,1613,373,445,1,3
217,2,989,1061,381,453,1,3
218,1,269,341,381,453,1,3
218,3,1541,1613,373,445,1,3
218,2,989,1061,381,453,1,3
219,1,269,341,381,453,1,3
219,3,1541,1613,373,445,1,3
219,2,989,1061,381,453,1,3
220,1,269,341,381,453,1,3
220,3,1541,1613,373,445,1,3
220,2,989,1061,381,453,1,3
221,1,269,341,381,453,1,3
221,3,1541,1613,373,445,1,3
221,2,989,1061,381,453,1,3
222,1,269,341,381,453,1,3
222,3,1541,1613,373,445,1,3
222,2,989,1061,381,453,1,3
223,1,269,341,381,453,1,3
223,2,989,1061,373,445,1,3
223,3,1541,1613,373,445,1,3
224,1,269,341,381,453,1,3
224,2,989,1061,373,445,1,3
224,3,1541,1613,373,445,1,3
225,1,269,341,381,453,1,3
225,3,1541,1613,373,445,1,3
225,2,989,1061,373,445,1,3
226,1,269,341,381,453,1,3
226,3,1541,1613,373,445,1,3
226,2,989,1061,373,445,1,3
227,1,269,341,381,453,1,3
227,3,1541,1613,373,445,1,3
227,2,989,1061,373,445,1,3
228,1,269,341,381,453,1,3
228,2,997,1069,373,445,1,3
228,3,1541,1613,373,445,1,3
229,1,269,341,381,453,1,3
229,3,1541,1613,373,445,1,3
229,2,925,997,349,421,1,3
230,1,269,341,381,453,1,3
230,3,1541,1613,373,445,1,3
230,2,927.25,999.25,349.75,421.75,1,3
231,1,269,341,381,453,1,3
231,3,1541,1613,373,445,1,3
231,2,929.5,1001.5,350.5,422.5,1,3
232,1,269,341,381,453,1,3
232,3,1541,1613,373,445,1,3
232,2,931.75,1003.75,351.25,423.25,1,3
233,1,269,341,381,453,1,3
233,3,1541,1613,373,445,1,3
233,2,934,1006,352,424,1,3
234,1,269,341,381,453,1,3
234,3,1541,1613,373,445,1,3
234,2,936.25,1008.25,352.75,424.75,1,3
235,1,269,341,381,453,1,3
235,3,1541,1613,373,445,1,3
235,2,938.5,1010.5,353.5,425.5,1,3
236,1,269,341,381,453,1,3
236,3,1541,1613,373,445,1,3
236,2,940.75,1012.75,354.25,426.25,1,3
237,1,269,341,381,453,1,3
237,3,1541,1613,373,445,1,3
237,2,943,1015,355,427,1,3
238,1,269,341,381,453,1,3
238,3,1541,1613,373,445,1,3
238,2,945.25,1017.25,355.75,427.75,1,3
239,1,269,341,381,453,1,3
239,3,1541,1613,373,445,1,3
239,2,947.5,1019.5,356.5,428.5,1,3
240,1,269,341,381,453,1,3
240,3,1541,1613,373,445,1,3
240,2,949.75,1021.75,357.25,429.25,1,3
241,1,269,341,381,453,1,3
241,3,1541,1613,373,445,1,3
241,2,952,1024,358,430,1,3
242,1,269,341,381,453,1,3
242,3,1541,1613,373,445,1,3
242,2,954.25,1026.25,358.75,430.75,1,3
243,1,269,341,381,453,1,3
243,3,1541,1613,373,445,1,3
243,2,956.5,1028.5,359.5,431.5,1,3
244,1,269,341,381,453,1,3
244,3,1541,1613,373,445,1,3
244,2,958.75,1030.75,360.25,432.25,1,3
245,1,269,341,381,453,1,3
245,3,1541,1613,373,445,1,3
245,2,961,1033,361,433,1,3
246,1,269,341,381,453,1,3
246,3,1541,1613,373,445,1,3
246,2,963.25,1035.25,361.75,433.75,1,3
247,1,269,341,381,453,1,3
247,3,1541,1613,373,445,1,3
247,2,965.5,1037.5,362.5,434.5,1,3
248,1,269,341,381,453,1,3
248,3,1541,1613,373,445,1,3
248,2,967.75,1039.75,363.25,435.25,1,3
249,1,269,341,381,453,1,3
249,3,1541,1613,373,445,1,3
